"City","Location","Building","Floor","Room","Department"
"","","","","Dogwood cottage",""
"","","","","downstairs OT/PT area",""
"","","","","Drop In Station",""
"","","","","ED admin hallway",""
"","","","","ED Control Room - 13-17/adjacent",""
"","","","","ED Control Room - CNL 2ndary",""
"","","","","ED Control Room - main NUA",""
"","","","","ED Control room NUA",""
"","","","","ED Hallway",""
"","","","","ED Triage",""
"","","","","EDS",""
"","","","","Education room, lower",""
"","","","","EHU",""
"","","","","EHU209",""
"","","","","EHU210",""
"","","","","EHU212",""
"","","","","EHU214",""
"","","","","EHU219",""
"","","","","EHU221",""
"","","","","Emerg control room",""
"","","","","Emergency",""
"","","","","EMP215",""
"","","","","EMP326 WFH",""
"","","","","Endo -Hallway",""
"","","","","Endo manager",""
"","","","","Endo Reception",""
"","","","","Endoscopy",""
"","","","","Endoscopy #3",""
"","","","","EndoScopy 1",""
"","","","","Endoscopy 2",""
"","","","","Endosocpy #3",""
"","","","","Ent Room 1",""
"","","","","Entrance Hallway",""
"","","","","ER Control room",""
"","","","","Exam Room 104.1",""
"","","","","Exam Room 104.6",""
"","","","","Exam Room 104.7",""
"","","","","Exam Room 104.8",""
"","","","","Exam Room 2",""
"","","","","Exam Room 3",""
"","","","","Exam Room 4",""
"","","","","Exam room 5",""
"","","","","Exam Room 6",""
"","","","","File room",""
"","","","","Fir Cottage",""
"","","","","G14",""
"","","","","G15",""
"","","","","g15",""
"","","","","G16",""
"","","","","G18",""
"","","","","G19",""
"","","","","G21",""
"","","","","G21 mobile",""
"","","","","g26",""
"","","","","G26",""
"","","","","G35",""
"","","","","Glass Room",""
"","","","","glass room",""
"","","","","Glass room main entrance",""
"","","","","ground level student support services",""
"","","","","hallway",""
"","","","","Hallway",""
"","","","","Hallway 3A",""
"","","","","Hearing Clinic Hearing Aid Room",""
"","","","","Heritage",""
"","","","","Heritage Woods",""
"","","","","Heritage woods",""
"","","","","Hiscock",""
"","","","","Horseshoe at main entrance",""
"","","","","HVAC",""
"","","","","ICU",""
"","","","","ICU 3747",""
"","","","","ICU Nursing Station",""
"","","","","IM/IT Depot (WB3)",""
"","","","","IMIT DI",""
"","","","","in Clinic Room 4",""
"","","","","LA101",""
"","","","","LA102",""
"","","","","Lab - Mobile",""
"","","","","LAB 3172",""
"","","","","LAB 3739",""
"","","","","Laundry",""
"","","","","LC108 / Electrical Engineering",""
"","","","","LDR",""
"","","","","LDR Hallway",""
"","","","","LDR Main Desk",""
"","","","","LDR OR10",""
"","","","","Main",""
"","","","","Main Admin",""
"","","","","main admitting",""
"","","","","main admitting Desk",""
"","","","","main building",""
"","","","","Main building",""
"","","","","Main Building",""
"","","","","Main ED - L ERP",""
"","","","","Main ED - R ERP",""
"","","","","Main ED - RN 5-8",""
"","","","","Main ED - RN 9-12",""
"","","","","Main ED Med Rm",""
"","","","","Main entrance left cubical",""
"","","","","Main Nurse Station S4A",""
"","","","","Main Nursing station",""
"","","","","Main Office",""
"","","","","Main Office - between VGH and Jenesse�s Place",""
"","","","","Main POD cubby",""
"","","","","Main Pod 'cubby'.",""
"","","","","Main Reception",""
"","","","","Main room",""
"","","","","Main station",""
"","","","","Main xray hallway",""
"","","","","Maintenance Office",""
"","","","","Manager office - 7A South -David White",""
"","","","","Managers Office",""
"","","","","managers office",""
"","","","","Managers Office 104.17",""
"","","","","Maple Cottage",""
"","","","","MDRD",""
"","","","","Med Room",""
"","","","","Med Room 104.11",""
"","","","","Medical Imaging",""
"","","","","medical imaging",""
"","","","","Medical Imaging Reception",""
"","","","","Meet at main entrance",""
"","","","","Meeting room",""
"","","","","MHSU Consult 1",""
"","","","","MI Clerical",""
"","","","","MI Clerical & RIS Supp Admin",""
"","","","","ML-C-102-1",""
"","","","","ML-C-102-2",""
"","","","","ml-c-102-2",""
"","","","","ML-C-102-3",""
"","","","","ML-C-133",""
"","","","","ML-C-143-7",""
"","","","","MLC-144",""
"","","","","MLC-148",""
"","","","","MOA / Reception",""
"","","","","Multipurpose",""
"","","","","Multipurpose room",""
"","","","","N 268 D",""
"","","","","N 313 D",""
"","","","","N/A",""
"","","","","n/a",""
"","","","","N2--",""
"","","","","N201",""
"","","","","N201 Reception",""
"","","","","N207",""
"","","","","N209",""
"","","","","N211",""
"","","","","N212 C",""
"","","","","n213",""
"","","","","N213",""
"","","","","N213 C",""
"","","","","N214",""
"","","","","N215 C",""
"","","","","N216 C",""
"","","","","N217",""
"","","","","N217A",""
"","","","","N217B",""
"","","","","N217C",""
"","","","","N217D",""
"","","","","N221 C",""
"","","","","N221 Nutrition",""
"","","","","N222 C",""
"","","","","N222 Nutrition",""
"","","","","N223 Nutrition",""
"","","","","N224",""
